Track Name,Track ID,Duration (ms),Track Popularity,Track Number,URI,Album Name,Album ID,Artist Name,Track GQ,Artist ID,Artist Popularity,Followers,Genres,Artist GQ
세상에 뿌려진 사랑만큼 As Much As The Love Scattered,0kbYTOdPLl3Fydv6UbkojG,243093,33,2,spotify:track:0kbYTOdPLl3Fydv6UbkojG,Always,5eMDqnnqlUrwSvq6Mq4ckS,LEE SEUNG HWAN,classic korean pop,6LPV5KZBc1zBjX8AFZ2WWY,33,37361,classic korean pop,classic k-pop
천일동안 For Thousand Days,3oXJNPCYKt60akwfakMuo2,352960,30,1,spotify:track:3oXJNPCYKt60akwfakMuo2,Human,2OeoptxuV78QJmHKHm5ISf,LEE SEUNG HWAN,classic korean pop,6LPV5KZBc1zBjX8AFZ2WWY,33,37361,classic korean pop,classic k-pop
How Love Is,4vL1PIqzQeMw3vZTp8gexx,295066,34,4,spotify:track:4vL1PIqzQeMw3vZTp8gexx,Hwantastic,7kQ4akQelMoA0CKdifLuMg,LEE SEUNG HWAN,classic korean pop,6LPV5KZBc1zBjX8AFZ2WWY,33,37361,classic korean pop,classic k-pop
사랑하기 때문에,0I9vXVUpijjek2ULH4UUJw,380555,38,9,spotify:track:0I9vXVUpijjek2ULH4UUJw,사랑하기 때문에,2Kb78rmvg0suvhVPcjBtlm,Yoo Jae-Ha,classic korean pop,2Qrs21XiQMxkddRognIjGC,32,36535,classic korean pop,classic k-pop
내 마음에 비친 내 모습,4w5jHmaPBwNN2Q9rOuYHUC,293044,37,4,spotify:track:4w5jHmaPBwNN2Q9rOuYHUC,사랑하기 때문에,2Kb78rmvg0suvhVPcjBtlm,Yoo Jae-Ha,classic korean pop,2Qrs21XiQMxkddRognIjGC,32,36535,classic korean pop,classic k-pop
가리워진 길,5IswU4kq9q1qvgJlHkQwns,197750,33,6,spotify:track:5IswU4kq9q1qvgJlHkQwns,사랑하기 때문에,2Kb78rmvg0suvhVPcjBtlm,Yoo Jae-Ha,classic korean pop,2Qrs21XiQMxkddRognIjGC,32,36535,classic korean pop,classic k-pop
Missing you,24UgvaHnAvKOysqdkZ1B8L,272662,35,3,spotify:track:24UgvaHnAvKOysqdkZ1B8L,Back in Time,7avQrMgx6JDi4gT1KM15zt,FLY TO THE SKY,classic korean pop,7rlMZAZYtRkjFg4HHhvYeC,28,53241,classic k-pop,classic korean pop
Even Though My Heart Breaks,6oUnqotL3a95tbuMTmafPj,263653,29,2,spotify:track:6oUnqotL3a95tbuMTmafPj,Back in Time,7avQrMgx6JDi4gT1KM15zt,FLY TO THE SKY,classic korean pop,7rlMZAZYtRkjFg4HHhvYeC,28,53241,classic k-pop,classic korean pop
Sea Of Love,02AThDf6z3YEYObZdqskyB,255891,29,1,spotify:track:02AThDf6z3YEYObZdqskyB,Back in Time,7avQrMgx6JDi4gT1KM15zt,FLY TO THE SKY,classic korean pop,7rlMZAZYtRkjFg4HHhvYeC,28,53241,classic k-pop,classic korean pop
너의 의미,49uWXkinbydcksyObKqNVH,224373,34,9,spotify:track:49uWXkinbydcksyObKqNVH,산울림 제10집 - 너의 의미,5B9oqFQy4vx5k03d8Y7nzl,Sanullim,classic korean pop,04cr7qH71klBu2x9H7c0Iw,31,28025,classic korean pop,classic k-pop
청춘,2ILPXRG3GNfcLMX7SEofhJ,208053,29,6,spotify:track:2ILPXRG3GNfcLMX7SEofhJ,산울림 제7집 - 가지 마오,6nTATCvoCGusL54TRm6N75,Sanullim,classic korean pop,04cr7qH71klBu2x9H7c0Iw,31,28025,classic korean pop,classic k-pop
1Tym,3LjJ0Hjqot5HDeL172lAcw,210626,32,1,spotify:track:3LjJ0Hjqot5HDeL172lAcw,One Time For Your Mind,2SVamLzGfpr4QCyCWjmXjT,1TYM,classic korean pop,0P8IEJrM7oUTK4WwdMKsvS,28,12179,classic k-pop,classic k-pop
Hot,1IkdRtsgZCtWIekX8NrLdN,218333,32,4,spotify:track:1IkdRtsgZCtWIekX8NrLdN,Once N 4 All,1ezAh7aCsuTvnb3g2WIprH,1TYM,classic korean pop,0P8IEJrM7oUTK4WwdMKsvS,28,12179,classic k-pop,classic k-pop
널 버리지마,6I7XAoU6tINaqcE5ftlIrI,217560,33,10,spotify:track:6I7XAoU6tINaqcE5ftlIrI,One Time For Your Mind,2SVamLzGfpr4QCyCWjmXjT,1TYM,classic korean pop,0P8IEJrM7oUTK4WwdMKsvS,28,12179,classic k-pop,classic k-pop
Without You,3bSLU0vJe54wU55zIPbl5F,278733,30,5,spotify:track:3bSLU0vJe54wU55zIPbl5F,Once N 4 All,1ezAh7aCsuTvnb3g2WIprH,1TYM,classic korean pop,0P8IEJrM7oUTK4WwdMKsvS,28,12179,classic k-pop,classic k-pop
Moon Watching,0p7rBqUbdeJydjBkkHwGCN,156813,26,1,spotify:track:0p7rBqUbdeJydjBkkHwGCN,Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974,52jS7Uk30kl3DcSszH1LKq,Shin Joong Hyun,classic korean pop,4cFsZrYUW5rEHhT1IrYXag,18,12311,classic korean pop,classic korean pop
애인 있어요,5ZCv0Q0rdmo9FiLecl6lfl,245853,31,3,spotify:track:5ZCv0Q0rdmo9FiLecl6lfl,Ma Non Tanto,0iJF2TpT7GkT3THYPYoCv7,Lee Eun Mi,classic korean pop,57Rbh9mF8Peu1jOPRawGHW,23,10663,classic korean pop,classic korean pop
Don’t You Worry,1UbXXZMnlsyfZ5ziKNxJ7y,276163,32,19,spotify:track:1UbXXZMnlsyfZ5ziKNxJ7y,Deulgukhwa,0e8lh3uJqASTtR8fqgxm13,Deul Guk Hwa,classic korean pop,1sgkTCF42JGJUIaBP68n6H,26,23923,classic korean pop,classic korean pop
매일 그대와,2T05Ub3H6NvMSO8Ohsam9I,210076,30,7,spotify:track:2T05Ub3H6NvMSO8Ohsam9I,들국화 1집 행진/사랑일 뿐야,5rfo4HOW4Pe01ipqjHL19K,Deul Guk Hwa,classic korean pop,1sgkTCF42JGJUIaBP68n6H,26,23923,classic korean pop,classic korean pop
