Track Name,Track ID,Duration (ms),Popularity,Track Number,URI,Album Name,Album ID,Artists,Genre Queried,Track Image
On A Starry Night,6jRjkpkM036jS5pmFRIksH,185400,19,4,spotify:track:6jRjkpkM036jS5pmFRIksH,"To My Star (Original Television Soundtrack, Pt. 2)",6B8TFWjTkbSiz5sxbrmi4b,Kim Da Eun,korean bl ost,https://i.scdn.co/image/ab67616d0000b2733883bab7779e4cd36bb9e804
I See You Like I See the Sun,37ASkECLwvAIbVGN2zkJny,186000,17,7,spotify:track:37ASkECLwvAIbVGN2zkJny,Summer Strike (Original Soundtrack),15CYeRrNYYGQRI1XC4ajZE,Low-end project,korean bl ost,https://i.scdn.co/image/ab67616d0000b273fd414b2a80a0722e697ae1c4
Precious Love,3Q2jaGIx8wQnJZIDIwWnp2,210720,19,1,spotify:track:3Q2jaGIx8wQnJZIDIwWnp2,Cherryblossom After Winter Pt.3 (Original Television Soundtrack),7Cy5c1OPJszWhEi2MeV8Cp,KangHui,korean bl ost,https://i.scdn.co/image/ab67616d0000b273354a902c7b459687ba8160ae
Close to You - Acoustic Version,0POSxsV9H8Z8QMzFWLCQs4,216670,14,4,spotify:track:0POSxsV9H8Z8QMzFWLCQs4,Wish You (Original Television Soundtrack),0sDNFyzYV72JsHAygapAUM,KANG IN SOO,korean bl ost,https://i.scdn.co/image/ab67616d0000b27326cce612a2ae53334b30a4ed
Because of you,2GZJuQxNPv6bx8Jv6vAOOX,232500,19,1,spotify:track:2GZJuQxNPv6bx8Jv6vAOOX,Our Dating Sim OST Part.1 (Soundtrack),6RDn4pPN48ZhSMULCpgX0Y,Cheero,korean bl ost,https://i.scdn.co/image/ab67616d0000b273d531be739be3202242cc0a75
I Love You,0iz2XPrevlyWIyAQbdeEzx,215533,15,1,spotify:track:0iz2XPrevlyWIyAQbdeEzx,I Love You,5oawIoujyjRKLrVWKsvfck,KWON SOON IL,korean bl ost,https://i.scdn.co/image/ab67616d0000b27389913a3f66392558b401afa4
halogen,5fOeBowPkgFJj9imcz9ORt,243859,12,5,spotify:track:5fOeBowPkgFJj9imcz9ORt,petrichor,6pfWucHFIt3I6LFRVBwh1l,sød ven,korean bl ost,https://i.scdn.co/image/ab67616d0000b2736ae9bb39dee40ef399e22da8
I See You Like I See the Sun,4grbG9wAAoFTbYnDBTkyrc,186000,19,1,spotify:track:4grbG9wAAoFTbYnDBTkyrc,"Summer Strike, Pt. 12 (Original Soundtrack)",1x1azzo9YyhTc65qCKfEar,Low-end project,korean bl ost,https://i.scdn.co/image/ab67616d0000b2737393f9c346d72fd07fd7474e
Time Is Eternal & A Moment - Korean Version,27c6Fo2M5pXK3g9WgAx5Rt,234000,16,1,spotify:track:27c6Fo2M5pXK3g9WgAx5Rt,Unintentional Love Story Original Televion Soundtrack Pt. 4,2fGvK7a0itBgC9RYZJtAEJ,Low-end project,korean bl ost,https://i.scdn.co/image/ab67616d0000b2736475233b310178c86aff08b6
100%,0PVJLN8HSU7gv2KU4QaWsH,184647,11,1,spotify:track:0PVJLN8HSU7gv2KU4QaWsH,100%,3GIYo2H7zZ4aDuZYqdC976,YOON SEO BIN,korean bl ost,https://i.scdn.co/image/ab67616d0000b273668b8199f650f705ce79a358
Winter wind,6uiraSSrrG0Qbs0iH48a4Z,238120,17,1,spotify:track:6uiraSSrrG0Qbs0iH48a4Z,"To My Star (Original Television Soundtrack, Pt. 2)",6B8TFWjTkbSiz5sxbrmi4b,Kwak Jeong Im,korean bl ost,https://i.scdn.co/image/ab67616d0000b2733883bab7779e4cd36bb9e804
I miss you,0RaZgatkZBbFxWnQ4BL25e,227186,12,1,spotify:track:0RaZgatkZBbFxWnQ4BL25e,I miss you,101UC9jDrx3ONtQBVo7lUW,HYELIN,korean bl ost,https://i.scdn.co/image/ab67616d0000b2735c4c007a1e77e4cc86f0bd67
Restored,056VSmn7udMcivxvML8sdT,175174,14,1,spotify:track:056VSmn7udMcivxvML8sdT,Indie / Pop / Folk Compilation: June 2023,0Rmhnl9DZAUx3174d4P0xy,sød ven,korean bl ost,https://i.scdn.co/image/ab67616d0000b273c55a3e066a267a5733d672d5
Enemy,5VDnC1AlVGbl3GOILIWozM,100458,30,1,spotify:track:5VDnC1AlVGbl3GOILIWozM,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Linda Linda - Japanese,0cbjZV5Ttagjfn723XO5en,134213,36,1,spotify:track:0cbjZV5Ttagjfn723XO5en,Linda Linda,5Kl8JwVRVMnGF8bPBEW3EO,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b2732e285ca68358a2371f59bd73
I'm a Fucking McDonald's,3M1Sjaj866h4VqejE7Ak6b,142053,21,4,spotify:track:3M1Sjaj866h4VqejE7Ak6b,Keep Drinking,5weZL40Nw4VmHCAAJtBzKv,Drinking Boys and Girls Choir,korean punk,https://i.scdn.co/image/ab67616d0000b273d4878b145dfdc4a795a4d11a
Your Crush On Me,2sDQ1EB8BvyL6YFxzXymoy,223653,29,7,spotify:track:2sDQ1EB8BvyL6YFxzXymoy,SUPER HIGH TENSION,0d8U98AMajWvDxgLHNeGAt,No Brain,korean punk,https://i.scdn.co/image/ab67616d0000b2730697b40381153be7a0aeb3ef
How Did It Feel?,2PzLKWYe3h4awSu8KflYaG,102812,21,3,spotify:track:2PzLKWYe3h4awSu8KflYaG,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
좋지 아니한가 Isn't That Good?,7L13P7XjzgJyENZZjITPcV,264640,27,2,spotify:track:7L13P7XjzgJyENZZjITPcV,Crying Nut 3 Singles,22GNw0B9gLX7wLKt1hgiSe,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b27314b7503a03a9811863909a7d
명동콜링 Myeong-dong Calling,0AcSCfVYcXgNgcrZdyZXOh,228120,25,4,spotify:track:0AcSCfVYcXgNgcrZdyZXOh,OK 목장의 젖소 Milk Cattle at the OK Corral,2ohRyGLhnzSVe1ajSigoWf,CRYING NUT,korean punk,https://i.scdn.co/image/ab67616d0000b2736949d240454882b11aed22bb
Terminal,2NoHVA4PB4myndS5n67NiI,102666,18,2,spotify:track:2NoHVA4PB4myndS5n67NiI,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
Stagnation,0picFBOxgsGeURaM7PDYz1,95812,17,4,spotify:track:0picFBOxgsGeURaM7PDYz1,1집,47SWLvDEgEqkwW2y84DrmR,Slant,korean punk,https://i.scdn.co/image/ab67616d0000b273cf191006237eb1b9a4df5a7c
